Subscription	ResourceGroup	Resource	ResourceType
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-sql	Microsoft.Compute/virtualMachines
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-sql/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-sql/SqlIaasExtension	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-wfe01	Microsoft.Compute/virtualMachines
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-wfe01/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	static-test-wfe	Microsoft.Compute/virtualMachines
TfGM SharePoint	tfgm-rg-vn-ne1	static-test-wfe/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe01	Microsoft.Compute/virtualMachines
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe01/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe01/VMSnapshot	Microsoft.Compute/virtualMachines/extensions
TfGM SharePoint	tfgm-rg-vn-ne1	TfGM-waf	Microsoft.Network/applicationGateways
TfGM SharePoint	tfgm-rg-vn-ne1	TfGM-static-LB	Microsoft.Network/loadBalancers
TfGM SharePoint	tfgm-rg-vn-ne1	sp-edrms-wfe01976	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	sp-edrms-wfe02407	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-app01128	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-sql949	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	sp-test-wfe01977	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	static-test-wfe812	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe01550	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe02522	Microsoft.Network/networkInterfaces
TfGM SharePoint	tfgm-rg-vn-ne1	static-wfe02-nsg	Microsoft.Network/networkSecurityGroups
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-dom-ne1	Microsoft.Network/networkSecurityGroups
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-ftphttp-nwsecgroup	Microsoft.Network/networkSecurityGroups
TfGM SharePoint	tfgm-rg-vn-ne1	tfgm-nsg-ser	Microsoft.Network/networkSecurityGroups
