"ResourceArn","TagKey","TagValue"
"arn:aws:rds:eu-west-2:177539856531:db:da-configdb-instance-test","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/RDSTestStackTest/2b4bc990-e9aa-11e9-bd55-0a5f6fd32d44"
"arn:aws:rds:eu-west-2:177539856531:db:da-configdb-instance-test","aws:cloudformation:stack-name","RDSTestStackTest"
"arn:aws:rds:eu-west-2:177539856531:pg:rdsteststacktest-dbinsparamgroup-o54w129qo1q4","aws:cloudformation:logical-id","DBInsParamGroup"
"arn:aws:rds:eu-west-2:177539856531:pg:rdsteststacktest-dbinsparamgroup-o54w129qo1q4","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/RDSTestStackTest/2b4bc990-e9aa-11e9-bd55-0a5f6fd32d44"
"arn:aws:rds:eu-west-2:177539856531:pg:rdsteststacktest-dbinsparamgroup-o54w129qo1q4","aws:cloudformation:stack-name","RDSTestStackTest"
"arn:aws:s3:::da-wallingtonp-cloud-trail","aws:cloudformation:logical-id","CloudTrailS3"
"arn:aws:s3:::da-wallingtonp-cloud-trail","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/snowflake-testing/1d6edeb0-1688-11ea-82d2-02317fefc7aa"
"arn:aws:s3:::da-wallingtonp-cloud-trail","aws:cloudformation:stack-name","snowflake-testing"
"arn:aws:s3:::da-wallingtonp-test","aws:cloudformation:logical-id","OutputAreaJsonS3"
"arn:aws:s3:::da-wallingtonp-test","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/snowflake-testing/1d6edeb0-1688-11ea-82d2-02317fefc7aa"
"arn:aws:s3:::da-wallingtonp-test","aws:cloudformation:stack-name","snowflake-testing"
"arn:aws:s3:::testlogging-cloudtraileventbucket-12crhv561fxxm","aws:cloudformation:logical-id","CloudTrailEventBucket"
"arn:aws:s3:::testlogging-cloudtraileventbucket-12crhv561fxxm","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:s3:::testlogging-cloudtraileventbucket-12crhv561fxxm","aws:cloudformation:stack-name","TestLogging"
"arn:aws:s3:::testlogging-errorlandingbucket-7wduht1vhcoq","aws:cloudformation:logical-id","ErrorLandingBucket"
"arn:aws:s3:::testlogging-errorlandingbucket-7wduht1vhcoq","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:s3:::testlogging-errorlandingbucket-7wduht1vhcoq","aws:cloudformation:stack-name","TestLogging"
"arn:aws:s3:::testlogging-masterlandingbucket-jo0dfyxjgh8e","aws:cloudformation:logical-id","MasterLandingBucket"
"arn:aws:s3:::testlogging-masterlandingbucket-jo0dfyxjgh8e","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:s3:::testlogging-masterlandingbucket-jo0dfyxjgh8e","aws:cloudformation:stack-name","TestLogging"
"arn:aws:s3:::testlogging-processingbucket-g5kop51ykx7e","aws:cloudformation:logical-id","ProcessingBucket"
"arn:aws:s3:::testlogging-processingbucket-g5kop51ykx7e","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:s3:::testlogging-processingbucket-g5kop51ykx7e","aws:cloudformation:stack-name","TestLogging"
"arn:aws:s3:::testlogging-sfstagingbucket-1r2n25u7r0d5k","aws:cloudformation:logical-id","SFStagingBucket"
"arn:aws:s3:::testlogging-sfstagingbucket-1r2n25u7r0d5k","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/TestLogging/0239af50-effd-11e9-b581-064d74357b0e"
"arn:aws:s3:::testlogging-sfstagingbucket-1r2n25u7r0d5k","aws:cloudformation:stack-name","TestLogging"
"arn:aws:s3:::tfgm-wallingtonp-test","aws:cloudformation:logical-id","OutputAreaJsonS3"
"arn:aws:s3:::tfgm-wallingtonp-test","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/snowflake-testing/a89e5860-1298-11ea-a1f3-0ab68d74e79c"
"arn:aws:s3:::tfgm-wallingtonp-test","aws:cloudformation:stack-name","snowflake-testing"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBEndpointParameter-oacCbH5WgIOq","aws:cloudformation:logical-id","DBEndpointParameter"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBEndpointParameter-oacCbH5WgIOq","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/RDSTestStackTest/2b4bc990-e9aa-11e9-bd55-0a5f6fd32d44"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBEndpointParameter-oacCbH5WgIOq","aws:cloudformation:stack-name","RDSTestStackTest"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBNameParameter-JdNsGiUsIkWf","aws:cloudformation:logical-id","DBNameParameter"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBNameParameter-JdNsGiUsIkWf","aws:cloudformation:stack-id","arn:aws:cloudformation:eu-west-2:177539856531:stack/RDSTestStackTest/2b4bc990-e9aa-11e9-bd55-0a5f6fd32d44"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBNameParameter-JdNsGiUsIkWf","aws:cloudformation:stack-name","RDSTestStackTest"
"arn:aws:ssm:eu-west-2:177539856531:parameter/CFN-DBPortParameter-5daRljScnK5N","aws:cloudformation:logical-id","DBPortParameter"
