ResourceId,Subscription,ResourceGroup,Resource,ResourceType,Tags
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/Ubuntu-Servers/providers/Microsoft.Network/publicIPAddresses/interactionmanager8333,ISEngineering,Ubuntu-Servers,interactionmanager8333,Microsoft.Network/publicIPAddresses,Environment=dev; Project=is; 
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/Ubuntu-Servers/providers/Microsoft.Network/publicIPAddresses/laravel-base,ISEngineering,Ubuntu-Servers,laravel-base,Microsoft.Network/publicIPAddresses,Environment=dev; Project=is; 
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/Ubuntu-Servers/providers/Microsoft.Network/virtualNetworks/Ubuntu-Servers,ISEngineering,Ubuntu-Servers,Ubuntu-Servers,Microsoft.Network/virtualNetworks,Environment=dev; Project=is; 
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/Ubuntu-Servers/providers/Microsoft.Storage/storageAccounts/ubuntuservers4247,ISEngineering,Ubuntu-Servers,ubuntuservers4247,Microsoft.Storage/storageAccounts,Environment=dev; Project=is; 
/subscriptions/f83a3c88-958b-43d0-b567-40e8d0826aa7/resourceGroups/Ubuntu-Servers/providers/Microsoft.Storage/storageAccounts/ubuntuservers4938,ISEngineering,Ubuntu-Servers,ubuntuservers4938,Microsoft.Storage/storageAccounts,Environment=dev; Project=is; 
/subscriptions/5973de0f-c552-4247-99e6-b0a6a1ecfc2a/resourceGroups/Default-ServiceBus-NorthEurope/providers/Microsoft.ServiceBus/namespaces/testtfgm,Open Data Project Test,Default-ServiceBus-NorthEurope,testtfgm,Microsoft.ServiceBus/namespaces,
/subscriptions/5973de0f-c552-4247-99e6-b0a6a1ecfc2a/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/serverFarms/Default0,Open Data Project Test,Default-Web-NorthEurope,Default0,Microsoft.Web/serverFarms,
/subscriptions/5973de0f-c552-4247-99e6-b0a6a1ecfc2a/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/sites/tfgmdatatest,Open Data Project Test,Default-Web-NorthEurope,tfgmdatatest,Microsoft.Web/sites,
/subscriptions/5973de0f-c552-4247-99e6-b0a6a1ecfc2a/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/sites/tfgmtestadmin,Open Data Project Test,Default-Web-NorthEurope,tfgmtestadmin,Microsoft.Web/sites,
/subscriptions/5973de0f-c552-4247-99e6-b0a6a1ecfc2a/resourceGroups/Default-Web-NorthEurope/providers/Microsoft.Web/sites/tfgmtestdev,Open Data Project Test,Default-Web-NorthEurope,tfgmtestdev,Microsoft.Web/sites,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/Server-Migration-NorthEurope/providers/Microsoft.Compute/disks/TFGMMIGAPP01_DataDisk_0,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01_DataDisk_0,Microsoft.Compute/disks,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/SERVER-MIGRATION-NORTHEUROPE/providers/Microsoft.Compute/disks/TFGMMIGAPP01_OsDisk_1_e85185f370054217a6acc369d3520d48,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGAPP01_OsDisk_1_e85185f370054217a6acc369d3520d48,Microsoft.Compute/disks,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/SERVER-MIGRATION-NORTHEUROPE/providers/Microsoft.Compute/disks/TFGMMIGDBS01_disk2_93843354a22f4300ab0e6d8c66fbe760,TfGM SharePoint,Server-Migration-NorthEurope,TFGMMIGDBS01_disk2_93843354a22f4300ab0e6d8c66fbe760,Microsoft.Compute/disks,
