Subscription,ResourceGroup,Resource,ResourceType,Environment,Project
TfGM Websites,Default-Web-NorthEurope,A0958DC9FB49903173CF4962F62D4AB52DA2F754,Microsoft.Web/certificates,,Chris March
TfGM Websites,Default-Web-NorthEurope,certificates-kv-tfgm-wildcard-tfgm-com,Microsoft.Web/certificates,,Chris March
TfGM Websites,Default-Web-NorthEurope,Default1,Microsoft.Web/serverFarms,,Chris March
TfGM Websites,Default-Web-NorthEurope,content-getmethere,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,get-digital,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,gmtlatest,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,goto,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,leavinglauren,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,MetrolinkWiFi,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,TfGMforms,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,tfgmmailer,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,tfgmopendata,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,Traveline,Microsoft.Web/sites,,Chris March
TfGM Websites,Default-Web-NorthEurope,travelsafe,Microsoft.Web/sites,,Chris March
TfGM Websites,getmethere,62FC25DD212780325E3598E81763B3C109A6A45D-getmethere-UKSouthwebspace,Microsoft.Web/certificates,,Chris March
TfGM Websites,getmethere,76D1F933D897DDC872AC781D88D8F5CF8955BB2D-getmethere-UKSouthwebspace,Microsoft.Web/certificates,,Chris March
TfGM Websites,getmethere,UK-South-plan,Microsoft.Web/serverFarms,,Chris March
TfGM Websites,getmethere,getmethere/preview,Microsoft.Web/sites/slots,,Chris March
TfGM Websites,getmethere,getmethere/qa,Microsoft.Web/sites/slots,,Chris March
TfGM Websites,getmethere,getmethere/staging,Microsoft.Web/sites/slots,,Chris March
TfGM Websites,GreatAirManchester-RG,0DD57BF325CCF21D883E3C1D2CD1E19625FA47D3-northeuropewebspace,Microsoft.Web/certificates,,Chris March
TfGM Websites,GreatAirManchester-RG,GreatAirManchester,Microsoft.Web/sites,,Chris March
TfGM Websites,GreatAirManchester-RG,GreatAirManchester/preview,Microsoft.Web/sites/slots,,Chris March
TfGM Websites,GreatAirManchester-RG,GreatAirManchester/qa,Microsoft.Web/sites/slots,,Chris March
TfGM Websites,Linux-VMs,interaction-manager/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Chris March
TfGM Websites,Linux-VMs,interaction-manager/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,,Chris March
TfGM Websites,Linux-VMs,interaction-manager/VMSnapshotLinux,Microsoft.Compute/virtualMachines/extensions,,Chris March
TfGM Websites,Linux-VMs,interaction-manager-DEV/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,,Chris March
TfGM Websites,Linux-VMs,interaction-manager947,Microsoft.Network/networkInterfaces,,Chris March
TfGM Websites,Linux-VMs,Interaction-Man-nic-8a0af562894244bf8c539e6c9530ea7d,Microsoft.Network/networkInterfaces,,Chris March
TfGM Websites,Linux-VMs,interaction-man-nic-d5b689a1b1a4496880bc43bd698cf69c,Microsoft.Network/networkInterfaces,,Chris March
TfGM Websites,Linux-VMs,interaction-manager,Microsoft.Network/networkSecurityGroups,,Chris March
TfGM Websites,Linux-VMs,interaction-manager-TEST-nsg,Microsoft.Network/networkSecurityGroups,,Chris March
TfGM Websites,Linux-VMs,interaction-manager,Microsoft.Network/publicIPAddresses,,Chris March
TfGM Websites,Linux-VMs,Interaction-Man-pip-3736cd5102d34d4db3cfdc0a2d6693a4,Microsoft.Network/publicIPAddresses,,Chris March
TfGM Websites,Linux-VMs,interaction-man-pip-c43fcde555ec4f749f148345784c0bf1,Microsoft.Network/publicIPAddresses,,Chris March
TfGM Websites,Linux-VMs,Linux-VMs,Microsoft.Network/virtualNetworks,,Chris March
TfGM Websites,Linux-VMs,interaction-manager-RSG,Microsoft.RecoveryServices/vaults,,Chris March
TfGM Websites,Linux-VMs,linuxvms4945,Microsoft.Storage/storageAccounts,,Chris March
TfGM Websites,ShareYourJourneyWebsite,ShareYourJourney,Microsoft.Web/sites,,Chris March
TfGM Websites,ShareYourJourneyWebsite,shareyourjourney/shareyourjourney-staging,Microsoft.Web/sites/slots,,Chris March
TfGM Websites,Test-Sura,Test-Sura,Microsoft.Web/sites,,Chris March
TfGM Websites,TravelPlanToolkit,TravelPlanToolkit,Microsoft.Web/sites,,Chris March
